PUMP NAME: Lorentz_ps2-4000
PRICE: 99999  					# in USD
ELECTRICAL ARCHITECTURE: permanent_magnet		
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
240	450	14	8.333333333	2560	0.761904762
242.25	260	14	16.66666667	2584	0.761904762
244.5	220	14	33.33333333	2608	0.761904762
246.75	140	14	50	2632	0.761904762
249	140	14	66.66666667	2656	0.761904762
251.25	90	14	83.33333333	2680	0.761904762
253.5	80	14	100	2704	0.761904762
255.75	80	14	116.6666667	2728	0.761904762
258	80	14	133.3333333	2752	0.761904762
260.25	70	14	150	2776	0.761904762
262.5	60	14	166.6666667	2800	0.761904762
264.75	50	14	183.3333333	2824	0.761904762
267	40	14	200	2848	0.761904762
269.25	40	14	216.6666667	2872	0.761904762
271.5	40	14	233.3333333	2896	0.761904762
273.75	40	14	250	2920	0.761904762
276	40	14	266.6666667	2944	0.761904762
278.25	40	14	283.3333333	2968	0.761904762
280.5	30	14	300	2992	0.761904762
282.75	30	14	316.6666667	3016	0.761904762
285	30	14	333.3333333	3040	0.761904762
287.25	30	14	350	3064	0.761904762
289.5	30	14	366.6666667	3088	0.761904762
291.75	30	14	383.3333333	3112	0.761904762
294	30	14	400	3136	0.761904762
296.25	30	14	416.6666667	3160	0.761904762
298.5	30	14	433.3333333	3184	0.761904762
300.75	30	14	450	3208	0.761904762
303	30	14	466.6666667	3232	0.761904762
305.25	20	14	483.3333333	3256	0.761904762
307.5	20	14	500	3280	0.761904762
309.75	20	14	516.6666667	3304	0.761904762
312	20	14	533.3333333	3328	0.761904762
314.25	20	14	550	3352	0.761904762
316.5	20	14	566.6666667	3376	0.761904762
318.75	20	14	583.3333333	3400	0.761904762
321	20	14	600	3424	0.761904762
323.25	20	14	616.6666667	3448	0.761904762
325.5	20	14	633.3333333	3472	0.761904762
327.75	20	14	650	3496	0.761904762
330	20	14	666.6666667	3520	0.761904762
332.25	10	14	683.3333333	3544	0.761904762
334.5	10	14	700	3568	0.761904762
336.75	10	14	716.6666667	3592	0.761904762
339	10	14	733.3333333	3616	0.761904762
341.25	10	14	750	3640	0.761904762
343.5	10	14	766.6666667	3664	0.761904762
345.75	10	14	783.3333333	3688	0.761904762
348	10	14	800	3712	0.761904762
350.25	10	14	816.6666667	3736	0.761904762
352.5	10	14	833.3333333	3760	0.761904762
354.75	10	14	850	3784	0.761904762
357	10	14	866.6666667	3808	0.761904762
359.25	10	14	883.3333333	3832	0.761904762
361.5	10	14	900	3856	0.761904762
363.75	10	14	916.6666667	3880	0.761904762
366	10	14	933.3333333	3904	0.761904762
368.25	10	14	950	3928	0.761904762
370.5	10	14	966.6666667	3952	0.761904762
372.75	10	14	983.3333333	3976	0.761904762
375	10	14	1000	4000	0.761904762
