PUMP NAME: Lorentz_ps2-600
PRICE: 99999  					# in USD
ELECTRICAL ARCHITECTURE: permanent_magnet		
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
45	180	14	8.333333333	226.1538462	0.358974359
50.83333333	130	14	16.66666667	255.4700855	0.358974359
56.66666667	50	14	33.33333333	284.7863248	0.358974359
62.5	40	14	50	314.1025641	0.358974359
68.33333333	30	14	66.66666667	343.4188034	0.358974359
74.16666667	20	14	83.33333333	372.7350427	0.358974359
80	20	14	100	402.0512821	0.358974359
85.83333333	20	14	116.6666667	431.3675214	0.358974359
91.66666667	10	14	133.3333333	460.6837607	0.358974359
97.5	10	14	150	490	0.358974359
103.3333333	10	14	166.6666667	519.3162393	0.358974359
109.1666667	10	14	183.3333333	548.6324786	0.358974359
115	10	14	200	577.9487179	0.358974359
120.8333333	10	14	216.6666667	607.2649573	0.358974359
126.6666667	10	14	233.3333333	636.5811966	0.358974359
132.5	10	14	250	665.8974359	0.358974359
138.3333333	10	14	266.6666667	695.2136752	0.358974359
144.1666667	10	14	283.3333333	724.5299145	0.358974359
150	10	14	300	753.8461538	0.358974359
