PUMP NAME: Lorentz_ps2-1800
PRICE: 99999  					# in USD
ELECTRICAL ARCHITECTURE: permanent_magnet		
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
95	250	14	8.333333333	855	0.642857143
98.08823529	250	14	16.66666667	882.7941176	0.642857143
101.1764706	100	14	33.33333333	910.5882353	0.642857143
104.2647059	90	14	50	938.3823529	0.642857143
107.3529412	80	14	66.66666667	966.1764706	0.642857143
110.4411765	60	14	83.33333333	993.9705882	0.642857143
113.5294118	40	14	100	1021.764706	0.642857143
116.6176471	30	14	116.6666667	1049.558824	0.642857143
119.7058824	30	14	133.3333333	1077.352941	0.642857143
122.7941176	20	14	150	1105.147059	0.642857143
125.8823529	20	14	166.6666667	1132.941176	0.642857143
128.9705882	20	14	183.3333333	1160.735294	0.642857143
132.0588235	20	14	200	1188.529412	0.642857143
135.1470588	20	14	216.6666667	1216.323529	0.642857143
138.2352941	20	14	233.3333333	1244.117647	0.642857143
141.3235294	10	14	250	1271.911765	0.642857143
144.4117647	10	14	266.6666667	1299.705882	0.642857143
147.5	10	14	283.3333333	1327.5	0.642857143
150.5882353	10	14	300	1355.294118	0.642857143
153.6764706	10	14	316.6666667	1383.088235	0.642857143
156.7647059	10	14	333.3333333	1410.882353	0.642857143
159.8529412	10	14	350	1438.676471	0.642857143
162.9411765	10	14	366.6666667	1466.470588	0.642857143
166.0294118	10	14	383.3333333	1494.264706	0.642857143
169.1176471	10	14	400	1522.058824	0.642857143
172.2058824	10	14	416.6666667	1549.852941	0.642857143
175.2941176	10	14	433.3333333	1577.647059	0.642857143
178.3823529	10	14	450	1605.441176	0.642857143
181.4705882	10	14	466.6666667	1633.235294	0.642857143
184.5588235	10	14	483.3333333	1661.029412	0.642857143
187.6470588	10	14	500	1688.823529	0.642857143
190.7352941	10	14	516.6666667	1716.617647	0.642857143
193.8235294	10	14	533.3333333	1744.411765	0.642857143
196.9117647	10	14	550	1772.205882	0.642857143
200	10	14	566.6666667	1800	0.642857143
