,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2015-09-10,251,13.698957231171477,75.0,334.95,487.32454992203657,50,2015,666.8123016108657,13.70721500043998,13.698957231171477,-0.00011010359024671365
1,Maize,2016-09-10,617,13.96387085725199,125.0,470.84,520.9927379851993,50,2016,664.4967543053581,12.644942731398917,13.96387085725199,0.010551425006824587
2,Maize,2015-09-10,251,13.692230402834308,100.0,334.95,487.3345530826692,55,2015,640.6014725101754,,13.692230402834308,0.0
3,Maize,2016-09-10,617,13.960033965777383,125.0,470.84,521.1515160624145,55,2016,663.8061138399289,,13.960033965777383,0.0
4,Maize,2015-09-10,251,13.679687147283008,100.0,334.95,487.2066439528377,60,2015,638.3436865109416,,13.679687147283008,0.0
5,Maize,2016-09-10,617,13.97244654739068,150.0,470.84,522.2091456427482,60,2016,641.0403785303224,,13.97244654739068,0.0
6,Maize,2015-09-10,251,13.673660933278423,125.0,334.95,487.453274299005,65,2015,612.2589679901162,,13.673660933278423,0.0
7,Maize,2016-09-10,617,13.980075284361128,175.0,470.84,523.7542031274861,65,2016,617.4135511850031,,13.980075284361128,0.0
8,Maize,2015-09-10,251,13.693552596137986,150.0,334.95,491.57330233409124,70,2015,590.8394673048374,,13.693552596137986,0.0
9,Maize,2016-09-10,617,13.98800588042158,175.0,470.84,525.8174655543799,70,2016,618.8410584758844,,13.98800588042158,0.0
