Date,IrrDay,Pump,Date,Date (no year)
2005-06-26,1.3383685185254797,0.0,2005-06-26,06-26
2005-07-03,7.083172542926205,67.0966390026373,2005-07-03,07-03
2005-07-10,17.1963666393689,287.95605522261087,2005-07-10,07-10
2005-07-17,11.271530725559694,244.63637833592338,2005-07-17,07-17
2005-07-24,8.232452336028388,242.942506064777,2005-07-24,07-24
2005-07-31,12.45582729819613,386.181286949084,2005-07-31,07-31
2005-08-07,7.9297201137230156,274.69136830425015,2005-08-07,08-07
2005-08-14,5.481731713170817,248.91491455059682,2005-08-14,08-14
2005-08-21,5.500919041055937,367.89764872819654,2005-08-21,08-21
2005-08-28,6.362451173903141,252.23376889946383,2005-08-28,08-28
2005-09-04,12.013681101720204,318.71986003366675,2005-09-04,09-04
2005-09-11,8.97117503487426,303.9325678579105,2005-09-11,09-11
2005-09-18,14.119723978752251,302.3452654079566,2005-09-18,09-18
2005-09-25,7.429743259548085,255.70697510535467,2005-09-25,09-25
2005-10-02,21.893520008422946,360.81582281665203,2005-10-02,10-02
2005-10-09,14.668776863888123,200.2190711808608,2005-10-09,10-09
2005-10-16,13.55703547017236,186.93172204484532,2005-10-16,10-16
